url,facilities,about,name,address,geocode_address_suburb,long_suburb,lat_suburb,geocode_address_no_suburb,long_no_suburb,lat_no_suburb,dist_suburb,dist_no_suburb,ratio_suburb,ratio_no_suburb
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=370,"Playground, tables, toilets.",Local green open space.,Centennial Park,"90a Marsden Avenue, Balmoral","Auckland, New Zealand",-36.8484597,174.7633315,"90 Marsden Ave, Mount Eden, Auckland 1024, New Zealand",-36.8928455,174.7500717,27,17,0.6086956521739131,0.8131868131868132
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10487,"playground, toilets",Local Park - Leisure,Central Park Reserve,"57R Wood Street, Papakura Central","57 Wood St, Papakura, Papakura 2110, New Zealand",-37.0657716,174.9445768,"57 Wood St, Freemans Bay, Auckland 1011, New Zealand",-36.8517693,174.7465896,17,19,0.76,0.7764705882352941
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10479,playground,Local Park - Leisure,Celeste Reserve,"Celeste Place, Totara Vale","Celeste Reserve, Totara Vale, Auckland 0627, New Zealand",-36.7681521,174.7329438,"Celeste Reserve, Totara Vale, Auckland 0627, New Zealand",-36.7681521,174.7329438,6,18,0.9444444444444444,0.8085106382978723
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=365,Playground,"This reserve has been developed as an adventure playground for children. The reserve performs a purely local function for casual, active and passive recreation, mainly for children. A number of native and exotic trees, and shrubs have been planted on this reserve.",Celtic Crescent Reserve,"112 Celtic Crescent, Ellerslie","112 Celtic Cres, Ellerslie, Auckland 1051, New Zealand",-36.8902354,174.8223038,"112 Celtic Cres, Ellerslie, Auckland 1051, New Zealand",-36.8902354,174.8223038,6,16,0.9423076923076923,0.8260869565217391
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10473,playground,Local Park - Coastal,Castor Bay Beach Reserve,"Beach Road, Castor Bay","Castor Bay Rd, Castor Bay, Auckland 0620, New Zealand",-36.7600194,174.7621078,"Beach Rd, Castor Bay, Auckland 0620, New Zealand",-36.7588128,174.7669951,18,25,0.831858407079646,0.6947368421052632
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=14451,playground,Local Park - Leisure,Teviot Reserve,"Teviot Place, Totara Vale","Teviot Res, Totara Vale, Auckland 0629, New Zealand",-36.7669957,174.7238831,"Teviot Res, Totara Vale, Auckland 0629, New Zealand",-36.7669957,174.7238831,10,15,0.9019607843137255,0.8181818181818182
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=10459,playground,Local Park - Leisure,Carisbrook Reserve,"152 Dominion Road, Papakura Central","152 Dominion Rd, Papakura, Papakura 2110, New Zealand",-37.0652416,174.9658598,"152 Dominion Rd, Mount Eden, Auckland 1024, New Zealand",-36.8732235,174.7519543,17,17,0.7818181818181819,0.8172043010752689
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15253,playground,Local Park - Sport,Zita Maria Park,"34B Zita Maria Drive, Massey","34 Zita Maria Dr, Massey, Auckland 0614, New Zealand",-36.8480388,174.6135778,"34 Zita Maria Dr, Massey, Auckland 0614, New Zealand",-36.8480388,174.6135778,6,13,0.94,0.8571428571428571
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15247,playground,Local Park - Leisure,Yates Park,"79R Yates Road, Mangere East","79 Yates Rd, Mangere East, Auckland 2024, New Zealand",-36.9630933,174.8204811,"79 Yates Rd, Mangere East, Auckland 2024, New Zealand",-36.9630933,174.8204811,6,19,0.9411764705882353,0.7816091954022989
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15250,playground,,Youngs Park,"Cliff Road, Papakura Central","Youngs Rd, Papakura, Papakura 2110, New Zealand",-37.0577194,174.9336397,"Youngs Ln, Remuera, Auckland 1050, New Zealand",-36.8657044,174.7814024,20,15,0.72,0.775
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15243,playground,,Worthington Road Reserve,"Opposite 50 Worthington Road, Wellsford","50 Worthington Rd, Wellsford 0974, New Zealand",-36.290326,174.5342901,"50 Worthington Rd, Wellsford 0974, New Zealand",-36.290326,174.5342901,10,13,0.8571428571428571,0.7906976744186046
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15241,playground,Local Park - Leisure,Wordsworth Road Reserve,"56R Wordsworth Road, Manurewa","56 Wordsworth Rd, Manurewa, Auckland 2102, New Zealand",-37.0245062,174.8819414,"56 Wordsworth Rd, Manurewa, Auckland 2102, New Zealand",-37.0245062,174.8819414,6,15,0.9423076923076923,0.8387096774193549
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15234,playground,Local Park - Leisure,Woodlands Park,"22A Minnehaha Avenue, Titirangi","22 Minnehaha Ave, Titirangi, Auckland 0604, New Zealand",-36.951618,174.6317628,"22 Minnehaha Ave, Titirangi, Auckland 0604, New Zealand",-36.951618,174.6317628,6,16,0.9433962264150944,0.8297872340425532
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15223,,Natural,Wood Bay Reserve,"Between 59 and 63 Wood Bay Road, Titirangi","59 Wood Bay Rd, Titirangi, Auckland 0604, New Zealand",-36.9433365,174.6633882,"59 Wood Bay Rd, Titirangi, Auckland 0604, New Zealand",-36.9433365,174.6633882,6,16,0.9411764705882353,0.8222222222222222
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15220,playground,Local Park - Leisure,Withers Reserve,"Between 29 and 31 Withers Road, Glen Eden","29 Withers Rd, Glen Eden, Auckland 0602, New Zealand",-36.9234996,174.645857,"29 Withers Rd, Glen Eden, Auckland 0602, New Zealand",-36.9234996,174.645857,6,16,0.94,0.8181818181818182
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15218,playground,Local Park - Leisure,Wiseley Reserve,"161 Wiseley Road, West Harbour","161 Wiseley Rd, West Harbour, Auckland 0618, New Zealand",-36.8093841,174.6401379,"161 Wiseley Rd, West Harbour, Auckland 0618, New Zealand",-36.8093841,174.6401379,6,19,0.9444444444444444,0.7956989247311828
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15215,playground,Esplanade,Wiri Stream Reserve,"39R Kerrs Road, Manukau Central","39 Kerrs Rd, Wiri, Auckland 2104, New Zealand",-37.0029972,174.8848096,"39 Kerrs Rd, Wiri, Auckland 2104, New Zealand",-37.0029972,174.8848096,20,11,0.7628865979381443,0.8607594936708861
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15209,playground,Local Park - Leisure,Wing Park,"7 Wing Crescent, Papakura Central","7 Wing Cres, Papakura, Papakura 2110, New Zealand",-37.0632823,174.9652651,"7 Wing Cres, Papakura, Papakura 2110, New Zealand",-37.0632823,174.9652651,17,19,0.7647058823529411,0.7228915662650602
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15207,"playground, toilets",Premier Park - Leisure,Windsor Reserve,"Victoria Road, Windsor Park","Windsor Pl, Windsor Park, Auckland 0630, New Zealand",-36.7386162,174.739256,"Windsor Reserve King Edward Parade, Devonport, Auckland 0624, New Zealand",-36.8315004,174.7977965,13,35,0.8571428571428571,0.6846846846846847
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15208,playground,Local Park - Leisure,Windy Ridge Reserve,"Windy Ridge Road, Glenfield","Windy Ridge Reserve Windy Ridge Rd, Glenfield, Auckland 0629, New Zealand",-36.7902953,174.7136778,"Windy Ridge Reserve Windy Ridge Rd, Glenfield, Auckland 0629, New Zealand",-36.7902953,174.7136778,20,31,0.8346456692913385,0.7304347826086957
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15205,,Local Park - Leisure,Windrush Park,"52R Heyford Close, Mangere","52 Heyford Cl, Mangere, Auckland 2022, New Zealand",-36.9746947,174.8021015,"52 Heyford Cl, Mangere, Auckland 2022, New Zealand",-36.9746947,174.8021015,9,13,0.9090909090909091,0.8314606741573034
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15190,"BBQ,playground, toilets",,William Fraser Reserve,"33 Broadlands Drive, Omaha","33 Broadlands Dr, Omaha 0986, New Zealand",-36.3396034,174.778549,"33 Broadlands Dr, Omaha 0986, New Zealand",-36.3396034,174.778549,12,11,0.813953488372093,0.7948717948717948
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15187,playground,Local Park - Leisure,Wilencote Reserve,"7R Wilencote Place, Papakura Central","7 Wilencote Pl, Pahurehure, Papakura 2113, New Zealand",-37.0673332,174.9298768,"7 Wilencote Pl, Pahurehure, Papakura 2113, New Zealand",-37.0673332,174.9298768,24,20,0.7079646017699115,0.723404255319149
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15180,"playground, toilets",Local Park - Sport,Whitford War Memorial Domain,"53R Whitford Maraetai  Road, Whitford","53 Whitford-Maraetai Rd, Whitford, Auckland 2571, New Zealand",-36.9432121,174.9695299,"53 Whitford-Maraetai Rd, Whitford, Auckland 2571, New Zealand",-36.9432121,174.9695299,8,15,0.9243697478991597,0.8518518518518519
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15176,,Local Park - Coastal,Whitford Point Reserve,"1482R Clevedon Kawakawa Road, Clevedon","Clevedon-Kawakawa Rd, Clevedon, Auckland, New Zealand",-36.9740826,175.0735655,"1482 Clevedon-Kawakawa Rd, Kawakawa Bay, Auckland 2585, New Zealand",-36.948189,175.1648485,7,20,0.9285714285714286,0.8173913043478261
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15170,playground,,Whenuapai Hall Reserve,"41-43 Waimarie Road, Whenuapai","41/43 Waimarie Rd, Whenuapai, Auckland 0618, New Zealand",-36.7777201,174.6367165,"41/43 Waimarie Rd, Whenuapai, Auckland 0618, New Zealand",-36.7777201,174.6367165,7,17,0.9259259259259259,0.8125
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15174,playground,Local Park - Leisure,Whiteacres Park,"20R Whiteacres Drive, Pakuranga","20 Whiteacres Dr, Sunnyhills, Auckland 2010, New Zealand",-36.8994695,174.8905252,"20 Whiteacres Dr, Sunnyhills, Auckland 2010, New Zealand",-36.8994695,174.8905252,15,17,0.8037383177570093,0.8210526315789474
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=2385,"Playground, boardwalk",Big local reserve.,Wharua Reserve,"6 Wharua Road, Remuera","6 Wharua Rd, Remuera, Auckland 1050, New Zealand",-36.8678989,174.7937612,"6 Wharua Rd, Remuera, Auckland 1050, New Zealand",-36.8678989,174.7937612,6,14,0.9347826086956522,0.8292682926829268
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15163,playground,Local Park - Coastal,Wharf Reserve,"Wharf Road, Albany","Wharf Reserve, Albany, Auckland 0632, New Zealand",-36.7338598,174.688606,"Wharf Reserve, Albany, Auckland 0632, New Zealand",-36.7338598,174.688606,6,13,0.9361702127659575,0.8470588235294118
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15161,"BBQ,playground, toilets",,Whangateau Reserve,"533 Leigh Road, Whangateau","533 Leigh Rd, Whangateau 0985, New Zealand",-36.313651,174.766905,"533 Leigh Rd, Whangateau 0985, New Zealand",-36.313651,174.766905,10,13,0.8444444444444444,0.7532467532467533
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15151,,Local Park - Leisure,Weymouth Park,"454R Weymouth Road, Weymouth","454 Weymouth Rd, Weymouth, Auckland 2103, New Zealand",-37.0404567,174.8663324,"454 Weymouth Rd, Weymouth, Auckland 2103, New Zealand",-37.0404567,174.8663324,6,15,0.9411764705882353,0.8351648351648352
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=2375,,,Western Springs Park (Lakeside),"859 Great North Road, Western Springs","859 Great North Rd, Western Springs, Auckland 1022, New Zealand",-36.8670928,174.7234141,"859 Great North Rd, Western Springs, Auckland 1022, New Zealand",-36.8670928,174.7234141,6,22,0.9508196721311475,0.7884615384615384
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=2365,,,Western Park,"5 to 7 Ponsonby Road, Beresford Street, Freemans Bay","5 Beresford St, Freemans Bay, Auckland 1011, New Zealand",-36.8554739,174.7552677,"5 Beresford St, Freemans Bay, Auckland 1011, New Zealand",-36.8554739,174.7552677,20,26,0.8360655737704918,0.6915887850467289
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=2355,"Playground, tables",Small local reserve.,West Tamaki Reserve,"199a West Tamaki Road, Glen Innes","199 W Tamaki Rd, Glen Innes, Auckland 1072, New Zealand",-36.8690807,174.8707195,"199 W Tamaki Rd, Glen Innes, Auckland 1072, New Zealand",-36.8690807,174.8707195,9,20,0.9174311926605505,0.7916666666666666
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=2350,,Medium local reserve.,West Reserve,"21 Currie Avenue, Mt Roskill","21 Currie Ave, Hillsborough, Auckland 1042, New Zealand",-36.9190267,174.7545376,"21 Currie Ave, Hillsborough, Auckland 1042, New Zealand",-36.9190267,174.7545376,16,19,0.7884615384615384,0.7912087912087912
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15137,playground,Premier Park - Leisure,West Harbour Esplanade,"93-97 West Harbour Drive, West Harbour","93/97 W Harbour Dr, West Harbour, Auckland 0618, New Zealand",-36.8226818,174.6347079,"93/97 W Harbour Dr, West Harbour, Auckland 0618, New Zealand",-36.8226818,174.6347079,10,23,0.907563025210084,0.7692307692307693
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15129,playground,,Wellsford War Memorial Park,"81 Rodney Street, Wellsford","81 Rodney St, Wellsford 0900, New Zealand",-36.2980118,174.5237439,"81 Rodney St, Howick, Auckland 2014, New Zealand",-36.9031415,174.9271406,10,13,0.8409090909090909,0.8433734939759037
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15126,"playground, toilets",,Wellsford Centennial Park,"83 Centennial Park Road, Wellsford","83 Centennial Park Rd, Wellsford 0900, New Zealand",-36.2987897,174.5308029,"83 Centennial Park Rd, Wellsford 0900, New Zealand",-36.2987897,174.5308029,10,13,0.8679245283018868,0.8085106382978723
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15121,playground,,Weiti Views Reserve,"5 Blue Heron Rise, Stanmore Bay","5 Blue Heron Rise, Stanmore Bay, Whangaparaoa 0932, New Zealand",-36.621496,174.716816,"5 Blue Heron Rise, Stanmore Bay, Whangaparaoa 0932, New Zealand",-36.621496,174.716816,16,28,0.8135593220338984,0.6796116504854369
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15120,,Local Park - Leisure,Wayne Francis Park,"93R Wayne Francis Drive, East Tamaki","93 Wayne Francis Dr, Flat Bush, Auckland 2016, New Zealand",-36.9520989,174.9079154,"93 Wayne Francis Dr, Flat Bush, Auckland 2016, New Zealand",-36.9520989,174.9079154,14,16,0.8245614035087719,0.84
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=2425,"Playground, table, toilets",Volcanic Cone with extensive views of the surrounding landscape.,Winstone Park,"1109 Dominion Road, Mt Roskill","1109 Dominion Rd, Mount Roskill, Auckland 1041, New Zealand",-36.9110054,174.7395697,"1109 Dominion Rd, Mount Roskill, Auckland 1041, New Zealand",-36.9110054,174.7395697,9,20,0.918918918918919,0.7959183673469388
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15119,"playground, toilets",Stormwater Reserve,Wattle Farm Ponds Reserve,"39R Wattle Farm Road, Wattle Downs","39 Wattle Farm Rd, Wattle Downs, Auckland 2103, New Zealand",-37.0424757,174.891743,"39 Wattle Farm Rd, Wattle Downs, Auckland 2103, New Zealand",-37.0424757,174.891743,6,19,0.9473684210526315,0.8080808080808081
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15118,playground,Esplanade,Wattle Downs Esplanade Reserve,"201R Wattle Farm Road, 21R Fergy Crescent, Wattle Downs","21 Fergy Cres, Wattle Downs, Auckland 2103, New Zealand",-37.0486721,174.8837142,"21 Fergy Cres, Wattle Downs, Auckland 2103, New Zealand",-37.0486721,174.8837142,27,30,0.7874015748031497,0.6428571428571429
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=2330,"Playground, table",Attractive neighbourhood park with large trees and a children's playground.,Watling Reserve,"38 St Leonards Road
or 35 to 41 Watling Street, Mt Eden","35 Watling St, Epsom, Auckland 1024, New Zealand",-36.8941658,174.761824,"35 Watling St, Epsom, Auckland 1024, New Zealand",-36.8941658,174.761824,34,33,0.6782608695652174,0.6857142857142857
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=2325,,"Located at the mouth of the Whau River. Nice coastal walk, pleasant scenic views, open space that caters for league, consisting of one field only.",Waterview Reserve,"19 Herdman Street, Waterview","19 Herdman St, Waterview, Auckland 1026, New Zealand",-36.8758582,174.7018243,"19 Herdman St, Waterview, Auckland 1026, New Zealand",-36.8758582,174.7018243,6,16,0.94,0.8181818181818182
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15115,playground,Local Park - Leisure,Waterlea Park,"28R House Avenue, Mangere Bridge","28 House Ave, Mangere Bridge, Auckland 2022, New Zealand",-36.942673,174.7738629,"28 House Ave, Mangere Bridge, Auckland 2022, New Zealand",-36.942673,174.7738629,6,21,0.9444444444444444,0.7692307692307693
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=2310,Playground,Home of the Ramblers softball club it is also used for rugby during the winter months. One small sports field but well used.,Warren Freer Park,"19 Watson Avenue, Sandringham","19 Watson Ave, Sandringham, Auckland 1025, New Zealand",-36.8834365,174.7365782,"19 Watson Ave, Sandringham, Auckland 1025, New Zealand",-36.8834365,174.7365782,6,18,0.9423076923076923,0.8
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15108,"playground, toilets",,Warkworth Service Centre Library Grounds,"1 Baxter Street, Warkworth","1 Baxter St, Warkworth 0910, New Zealand",-36.3977206,174.6661093,"1 Baxter St, Mount Roskill, Auckland 1041, New Zealand",-36.9081946,174.7476894,10,20,0.8372093023255814,0.7727272727272727
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=2305,,"A lovely open space commencing at May Road and running through to Sandringham Road extension, and accessible from a number of side streets. This park is very open with Oakley Creek running through the northern side of the park, keeping the sports fields separate from the adjoining residential housing.",War Memorial Park,"13 May Road, Mt Roskill","13 May Rd, Mount Roskill, Auckland 1041, New Zealand",-36.9042709,174.7383964,"13 May Rd, Mount Roskill, Auckland 1041, New Zealand",-36.9042709,174.7383964,9,20,0.9072164948453608,0.7619047619047619
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15106,,Local Park - Sport,War Memorial Park,"16R Gibbs Road, Manurewa","16 Gibbs Rd, Manurewa, Auckland 2102, New Zealand",-37.0145709,174.8830523,"16 Gibbs Rd, Manurewa, Auckland 2102, New Zealand",-37.0145709,174.8830523,6,15,0.9361702127659575,0.8192771084337349
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15104,playground,Local Park - Leisure,Wanita Reserve,"Target Road, Wairau Valley","Wanita Reserve Wanita Pl, Totara Vale, Auckland 0629, New Zealand",-36.7651915,174.7267402,"Wanita Reserve Wanita Pl, Totara Vale, Auckland 0629, New Zealand",-36.7651915,174.7267402,22,28,0.8135593220338984,0.7254901960784313
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15102,"playground, toilets",Local Park - Sport,Walter Massey Park,"380R, 394R, 372R Massey Road, 10R, 28R Hain Ave, 137 Buckland Road, Mangere","137 Buckland Rd, Mangere East, Auckland 2024, New Zealand",-36.9695114,174.8259179,"137 Buckland Rd, Mangere East, Auckland 2024, New Zealand",-36.9695114,174.8259179,58,52,0.618421052631579,0.5352112676056338
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=2290,"Barbecue, tables, playground, pergola, drinking fountain, toilets","A great open space covering approximately 5 hectares, with trees used as shade on a hot day that sit along the fringe of the park. Lovely for either passive use, making use of the location and openness or active use, soccer, rugby - whatever the heart or body desires.",Walker Park,"7 to 51 Walker Road, Pt Chevalier","7 Walker Rd, Point Chevalier, Auckland 1022, New Zealand",-36.8653626,174.7048483,"7 Walker Rd, Point Chevalier, Auckland 1022, New Zealand",-36.8653626,174.7048483,9,22,0.9142857142857143,0.7555555555555555
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15098,playground,,Waldorf Reserve,"14 Astor Place, Orewa","14 Astor Pl, Orewa 0931, New Zealand",-36.5815024,174.6779533,"14 Astor Pl, Manurewa, Auckland 2102, New Zealand",-37.0363308,174.8911279,13,13,0.7901234567901234,0.8372093023255814
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15097,playground,Local Park - Leisure,Wakeling Park,"Between 19 and 21 Lyndhurst Road, Te Atatu South","19 Lyndhurst Rd, Te Atatu South, Auckland 0610, New Zealand",-36.8660146,174.6490649,"19 Lyndhurst Rd, Te Atatu South, Auckland 0610, New Zealand",-36.8660146,174.6490649,6,21,0.9473684210526315,0.7835051546391752
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15082,playground,A quiet reserve set in a tranquil semi-rural neighbourhood at the start of the road to Bethells Beach.  The field has soccer posts.,Waitakere War Memorial Park,"Next to 11 Bethells Road,","Hobsonville War Memorial Park, Hobsonville, Auckland 0618, New Zealand",-36.7954033,174.6495472,"Hobsonville War Memorial Park, Hobsonville, Auckland 0618, New Zealand",-36.7954033,174.6495472,26,28,0.7377049180327869,0.7166666666666667
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15080,"playground, toilets","This premier sporting venue also offers, for the less sporting inclined, a children's  playground and walking tracks alongside the Henderson Creek.",Waitakere City Stadium,"59-65 Central Park Drive, Henderson","59-65 Central Park Dr, Henderson, Auckland 0610, New Zealand",-36.8622309,174.6354456,"59-65 Central Park Dr, Henderson, Auckland 0610, New Zealand",-36.8622309,174.6354456,6,16,0.9482758620689655,0.8461538461538461
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=2275,Playground,The top section closest to Remuera Road is an open space of green grass with trees on its borders and a group right in the middle of the section. Includes a children's playground and park seats.,Wairua Reserve,"477 to 485 Remuera Road, Remuera","477 Remuera Rd, Remuera, Auckland 1050, New Zealand",-36.8819691,174.8058222,"477 Remuera Rd, Remuera, Auckland 1050, New Zealand",-36.8819691,174.8058222,6,14,0.9387755102040817,0.8409090909090909
