url,facilities,about,name,address
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15121,playground,,Weiti Views Reserve,"5 Blue Heron Rise, Stanmore Bay"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15120,,Local Park - Leisure,Wayne Francis Park,"93R Wayne Francis Drive, East Tamaki"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=2425,"Playground, table, toilets",Volcanic Cone with extensive views of the surrounding landscape.,Winstone Park,"1109 Dominion Road, Mt Roskill"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15119,"playground, toilets",Stormwater Reserve,Wattle Farm Ponds Reserve,"39R Wattle Farm Road, Wattle Downs"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15118,playground,Esplanade,Wattle Downs Esplanade Reserve,"201R Wattle Farm Road, 21R Fergy Crescent, Wattle Downs"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=2330,"Playground, table",Attractive neighbourhood park with large trees and a children's playground.,Watling Reserve,"38 St Leonards Road
or 35 to 41 Watling Street, Mt Eden"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=2325,,"Located at the mouth of the Whau River. Nice coastal walk, pleasant scenic views, open space that caters for league, consisting of one field only.",Waterview Reserve,"19 Herdman Street, Waterview"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15115,playground,Local Park - Leisure,Waterlea Park,"28R House Avenue, Mangere Bridge"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=2310,Playground,Home of the Ramblers softball club it is also used for rugby during the winter months. One small sports field but well used.,Warren Freer Park,"19 Watson Avenue, Sandringham"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15108,"playground, toilets",,Warkworth Service Centre Library Grounds,"1 Baxter Street, Warkworth"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=2305,,"A lovely open space commencing at May Road and running through to Sandringham Road extension, and accessible from a number of side streets. This park is very open with Oakley Creek running through the northern side of the park, keeping the sports fields separate from the adjoining residential housing.",War Memorial Park,"13 May Road, Mt Roskill"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15106,,Local Park - Sport,War Memorial Park,"16R Gibbs Road, Manurewa"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15104,playground,Local Park - Leisure,Wanita Reserve,"Target Road, Wairau Valley"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15102,"playground, toilets",Local Park - Sport,Walter Massey Park,"380R, 394R, 372R Massey Road, 10R, 28R Hain Ave, 137 Buckland Road, Mangere"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=2290,"Barbecue, tables, playground, pergola, drinking fountain, toilets","A great open space covering approximately 5 hectares, with trees used as shade on a hot day that sit along the fringe of the park. Lovely for either passive use, making use of the location and openness or active use, soccer, rugby - whatever the heart or body desires.",Walker Park,"7 to 51 Walker Road, Pt Chevalier"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15098,playground,,Waldorf Reserve,"14 Astor Place, Orewa"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15097,playground,Local Park - Leisure,Wakeling Park,"Between 19 and 21 Lyndhurst Road, Te Atatu South"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15082,playground,A quiet reserve set in a tranquil semi-rural neighbourhood at the start of the road to Bethells Beach.  The field has soccer posts.,Waitakere War Memorial Park,"Next to 11 Bethells Road,"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15080,"playground, toilets","This premier sporting venue also offers, for the less sporting inclined, a children's  playground and walking tracks alongside the Henderson Creek.",Waitakere City Stadium,"59-65 Central Park Drive, Henderson"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=2275,Playground,The top section closest to Remuera Road is an open space of green grass with trees on its borders and a group right in the middle of the section. Includes a children's playground and park seats.,Wairua Reserve,"477 to 485 Remuera Road, Remuera"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15077,playground,Local Park - Leisure,Wairoa Road Reserve,"Wairau Road, Wairau Valley"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15068,"playground, toilets",Local Park - Sport,Wainoni Park North,"Churchouse Road, Greenhithe"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15066,playground,Local Park - Leisure,Waimoko Glen Reserve,"24A Waimoko Glen, Ranui"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15054,"playground, toilets",Local Park - Leisure,Waima Reserve,"2-10 Boylan Road, Titirangi"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=2255,For more information see the Waikowhai circles section of the Manukau coastal walks which passes through the reserve.,"Waiokowhai (Kowhai by the water) boasts the largest block of native forest left in Auckland city. Originally part of the grant to the Wesley Mission, the land considered too infertile for farming, so was uncleared. The forest is host to a valuable sample of Auckland's original fauna and flora, especially in spring when the whole valley is ablase with yellow flowering kowhai. This in turn brings out the tui, rosella and kingfisher.",Waikowhai Park,"8 Waikowhai Road, Waikowhai"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=2235,"A unique wetland area covering approximately 20 hectares, of complex geological, historical and ecological value that also provides a wonderful sanctuary for a variety of bird life. The wetlands were once part of a freshwater lake, which was denied its source by the lava flows from the Maungarei (Mt Wellington) eruptions some 9000 years ago. Subsequent ponding and the deposition of silt and volcanic ash helped create the wetlands.","New Zealand's biggest urban wetland restoration project, principal function being a huge stormwater treatment system that removes pollutants from the waterways and includes a network of drains, weirs, bunds and sediment traps. This fascinating reserve offers something for everyone, joggers, walkers, families, and dogs. Wander over wide open spaces, enjoy the beauty of the wetland environ or explore pockets of bush. With wide pathways established for walking and jogging and a landscape that includes extensive native planting.",Waiatarua Reserve,"98 Abbotts Way, Meadowbank"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15031,,Local Park - Leisure,Volta Park,"13R Volta  Place, Clendon Park"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15027,playground,Local Park - Leisure,Virgo Common,"1A Hydra Place, Glen Eden"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15024,"playground, toilets",Local Park - Leisure,Village Green,"35 Coles Crescent, Papakura Central"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=2220,"The path is used by walkers and joggers. The fields are used extensively for active recreation, both formal and informal. The main codes are cricket, touch, rugby, rugby league and soccer. A petanque court, childrens playground and skate park also receive heavy usage. An area is also leased for bowling greens.","Victoria Park is a significant public open space located within the western basin of the central business district. The park is surrounded on all four sides by key roads - Victoria Street West, Halsey, Fanshawe and Beaumont Streets. It consists of mainly large flat, grassed playing fields encircled by an historic pathway, lined with dominant london plane trees.",Victoria Park,"203 to 271 Victoria Street, Auckland Central"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15020,"playground, toilets",,Victor Eaves Park,"122 West Hoe Road, Orewa"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15019,playground,Local Park - Leisure,Vickers Park,"48R Convair Crescent, Mangere"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=2210,Playground,Local area reserve including a childrens playground.,Vermont Reserve,"98 Vermont Street, Ponsonby"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15014,playground,Local Park - Leisure,Vandeleur Reserve,"Vandeleur Road, Birkdale"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15007,playground,"The home of the Waimoko track which runs parallel to the Swanson stream. The area is lush with restored native vegetation. Trees such as matipo and manuka draw native birds and shade the freshwater insects, fish and eels inhabiting the stream. The walkway",Urlich Esplanade Reserve,"Between 46 and 48 Urlich Drive, Ranui"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15005,playground,Local Park - Leisure,Unsworth Reserve,"Unsworth Drive, Unsworth Heights"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=15001,,Local Park - Coastal,Umupuia Coastal Reserve,"172R, 177, 180R, 181, 183R Maraetai Coast Road and 998R, 995R North Road, Clevedon"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=2175,Playground,Local green open space space.,Turner Reserve,"1 to 5 Glynn Street, Mt Roskill"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=14546,playground,,Tuna Place,"Tuna Place, Omaha South"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=14544,"BBQ,playground",Local Park - Leisure,Tui Park,"Gazelle Avenue, Beach Haven"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=14543,"playground, toilets","Named for the great number of Tui's that fed on the Kowhai nectar of the stream banks original vegetation, Tui Glen is a rolling landscape of open space, large trees and history.  Registered as the first camping ground in the country in 1925, it contains",Tui Glen Reserve,"2 Claude Brookes Drive, Henderson"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=14534,playground,Local Park - Leisure,Trimdon Street Reserve,"408R Porchester Road, 72R Trimdon Street, 15W Eulogy Place, 26R and 28R Horlicks Place, 58 Sheriff Place, Randwick Park"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=14531,"playground, toilets","A feature of the park is a 40 metres long flying fox. Other facilities include an adventure playground, basketball half court, a large flat grass area for sports and plenty of places to sit down and relax.",Triangle Park,"385 Don Buck Road, Massey"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=14523,"playground, toilets",Local Park - Leisure,Township Park,"Next to 10 Township Road, Waitakere"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=14521,playground,,Totara Views Reserve,"Opposite 52 Totara Views, Orewa"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=14514,playground,Local Park - Leisure,Tornado Reserve,"19 Tornado Place, West Harbour"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=2170,Playground,"A medium open space enjoyed by locals. Has links to many other small to medium reserves in the area. Mainly surrounded by residential housing but because it is so open, has many opportunities for fun.",Torino Reserve,"58 Torino Street, Pt England"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=2160,"Playground, boardwalk",Local green open space space.,Tole Reserve,"104 Clarence Street, Ponsonby"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=14497,"playground, toilets",Great for a dip in the water or enjoy a secluded picnic area backed by lush native bush.,Titirangi Beach,"Tirangi Beach Road, Titirangi"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=2155,"Barbecue, playground",Local green open space space.,Tirotai Reserve,"6 Tirotai Crescent, Westmere"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=14495,playground,Esplanade Reserve,Tiroroa Esplanade,"126 Tiroroa Avenue, Te Atatu South"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=14494,playground,Local Park - Leisure,Tironui Reserve,"28R Tironui Station Road, Takanini"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=14491,"playground, toilets",Esplanade,Tiraumea Drive Reserve,"120R Tiraumea Drive, Pakuranga"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=2150,"Playground, table",A small open space enjoyed by locals especially children who make use of the playground. Next to the main road leading down into the Onehunga Mall Shopping Centre.,Tin Tacks Reserve,"371 to 373 Onehunga Mall, Onehunga"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=2145,,Walkway to Pah Road.,Tin Boat Reserve,"Onetangi Road and Fourth Avenue (corner), Onetangi, Waiheke Island"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=14484,playground,Local Park - Leisure,Times Place Recreation Reserve,"6 Times Place, Pukekohe"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=14483,playground,Local Park - Leisure,Tilberg Park,"68R Tilberg Street, Mangere"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=14478,"playground, toilets",Local Park - Sport,Ti Rakau Park,"24R and 27R William Roberts Road, Pakuranga"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=14473,playground,Local Park - Leisure,Thornton Reserve,"2R Thornton Green, Hingaia"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=2135,"Playground, tables","A medium open space used by Mt Wellington Rugby League Club for league and softball. Mainly surrounded by residential housing, has it's own parking facilities.",Thompson Park,"50 Banks Road, Mt Wellington"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=2125,"Playground, boat ramp",Refer to Blackpool Esplanade Reserve.,The Esplanade,"Blackpool Beach, Waiheke Island"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=14457,playground,Local Park - Leisure,The Dale,"68R and 72R Coxhead Road, Manurewa"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=2110,Playground,Local green open space.,Temuka Gardens,"33 Terracotta Drive, Avondale"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=14446,"playground, toilets",Esplanade,Te Toro Recreation Centre,"Te Toro Road, Te Toro"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=14444,"playground, toilets",Local Park - Sport,Te Puru Park,"954R and 980R  Whitford  Maraetai Road and 65 Liberty Crescent, Whitford"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=14440,"playground, toilets","The park includes a state of the art playground that includes interactive swings and rope climbing, a skate park and tennis courts.",Te Pai Park,"31-35 Te Pai Place, Henderson"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=14438,playground,,Te Moau Reserve and River Esplanade,"25 Te Moau Road, Parakai"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=14429,playground,,Te Hana Reserve,"Corner Whakapirau and State Highway 1, Te Hana"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=14426,"playground, toilets",Premier Park - Sport,Te Atatu Peninsula Park,"39 Neil Avenue, Te Atatu Peninsula"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=2070,"Playground, tables",Local green open space.,Taylors Park,"39 Mont Le Grand Road, Mt Eden"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=14414,playground,Local Park - Leisure,Taurus Crescent Reserve,"Taurus Crescent, Orewa"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=2050,Playground,Local green open space.,Taurima Reserve,"9 Taurima Avenue, Pt England"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=2040,Playground,Local green open space.,Taumata Reserve,"21 to 27 Taumata Road, Sandringham"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=14407,playground,Local Park - Leisure,Tatyana Park,"24A Tatyana Place, Massey"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=14402,,Local Park - Leisure,Tarnica Park,"56R Tarnica Road, North Park"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=14401,playground,Local Park - Leisure,Target Reserve,"Target Road, Wairau Valley"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=2035,Playground,Local green open space.,Taramea Reserve,"28 Taramea Street, Avondale"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=14397,playground,,Tapora Reserve,"5 Okahukura Road, Tapora"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=14394,playground,Local Park - Leisure,Tangiwai Reserve,"201-215 Huia Road, Titirangi"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=14389,playground,"The playground includes extra long slides, climbing walls and swings and there is plenty of green open space for picnics and other activities.",Tamariki Reserve,"745 South Titirangi Road, Titirangi"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=14385,playground,Natural,Tamahere Reserve,"Tamahere Drive, Glenfield"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=2020,Playground,"A large open green space for informal play, and a network of pathways. Three separate artworks onsite, including tiles painted by the local school children, motives design by school children (attached atop of 2 meter high posts fronting onto Flanders Street) and a large carving beside the main pathway fronting onto Pt England Road.",Talbot Reserve,"13 Pt England Road, Pt England"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=14383,playground,Natural,Takaranga Reserve,"18 Staley Road, Parau"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=14382,playground,Local Park - Leisure,Takapuna Rose Gardens,"Anzac Street, Takapuna"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=14378,playground,Local Park - Leisure,Taka Reserve,"24R Taka Street, Takanini"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=14377,playground,Esplanade Reserve,Taitapu Park,"16A Taitapu Street, Massey"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=14375,"playground, toilets",Local Park - Leisure,Taipari Strand,"53 Taipari Road, Te Atatu Peninsula"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=1995,"Stage, playground, pergola, toilets",This reserve is a popular venue for Music in Parks in the summer as well as other events throughout the year. Important area for passive recreation to the local neighbourhood.,Tahaki Reserve,"250 Mt Eden Road, Mt Eden"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=14359,"BBQ,playground, toilets","Right next door to the Swanson train station with its historic weatherboard building moved from Avondale and restored.  There is  café in the building, and at the park, a BBQ and children's playground with a flying fox.",Swanson Station Park,"760 Swanson Road, Swanson"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=14357,playground,Local Park - Sport,Swanson Park,"2R Mclntyre Road, Mangere Bridge"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=1985,Playground,Local green open space.,Swainston Reserve,"12 to 14 John Shaw Drive, St Johns"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=14349,playground,Local Park - Leisure,Sutton Park,"48R Vine Street, Mangere East"
http://www.aucklandcity.govt.nz/whatson/places/parksonline/detail2.asp?pParkId=1975,"Barbecue, playground",Location of the Surfdale Hall that is available for public hire. Sheltered reserve on the southern side of Waiheke Island. Lovely open space.,Surfdale Reserve,"4 Hamilton Road, Waiheke Island"
